08-19 23:07:25.659   640 21621 I mtkpower_client: perf_lock_rel, hdl:141859, tid:21621
08-19 23:07:25.780   640 21628 I mtkpower_client: perf_lock_rel, hdl:141861, tid:21628
08-19 23:07:26.129   640 21627 I mtkpower_client: perf_lock_rel, hdl:141860, tid:21627
08-20 01:19:30.323  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18174(845KB) AllocSpace objects, 120(6240KB) LOS objects, 37% free, 10MB/16MB, paused 143us total 152.606ms
08-20 01:19:31.552  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18282(846KB) AllocSpace objects, 120(6240KB) LOS objects, 37% free, 10MB/16MB, paused 123us total 154.207ms
08-20 01:19:32.786  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18431(827KB) AllocSpace objects, 120(6240KB) LOS objects, 37% free, 10MB/16MB, paused 161us total 149.568ms
08-20 01:19:34.001  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18748(842KB) AllocSpace objects, 120(6240KB) LOS objects, 37% free, 10MB/16MB, paused 253us total 153.288ms
08-20 01:19:41.396  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18469(834KB) AllocSpace objects, 120(6240KB) LOS objects, 37% free, 10MB/16MB, paused 133us total 151.936ms
08-20 01:19:43.847  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18205(841KB) AllocSpace objects, 120(6240KB) LOS objects, 37% free, 10MB/16MB, paused 132us total 148.948ms
08-20 01:19:50.096  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18449(849KB) AllocSpace objects, 120(6240KB) LOS objects, 37% free, 10MB/16MB, paused 111us total 156.112ms
08-20 01:19:51.342  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18683(842KB) AllocSpace objects, 120(6240KB) LOS objects, 37% free, 10MB/16MB, paused 130us total 154.669ms
08-20 01:19:52.582  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18308(830KB) AllocSpace objects, 120(6240KB) LOS objects, 37% free, 10MB/16MB, paused 145us total 156.071ms
08-20 01:19:53.811  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18038(840KB) AllocSpace objects, 120(6240KB) LOS objects, 37% free, 10192KB/15MB, paused 162us total 149.781ms
08-20 01:19:55.084  2162  8063 D SharedPreferencesImpl: Time required to fsync /data/user/0/com.google.android.gms/shared_prefs/LogDropPref.xml: [<1: 0, <2: 0, <4: 1924, <8: 2123, <16: 29, <32: 7, <64: 10, <128: 3, <256: 0, <512: 0, <1024: 0, <2048: 0, <4096: 0, <8192: 0, <16384: 0, >=16384: 0]
08-20 01:19:57.567  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18241(830KB) AllocSpace objects, 120(6240KB) LOS objects, 37% free, 10MB/16MB, paused 149us total 155.331ms
08-20 01:20:03.960  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18570(854KB) AllocSpace objects, 120(6240KB) LOS objects, 37% free, 10194KB/15MB, paused 151us total 151.667ms
08-20 01:20:06.575  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18358(834KB) AllocSpace objects, 120(6240KB) LOS objects, 37% free, 10188KB/15MB, paused 146us total 154.186ms
08-20 01:20:10.530  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18133(843KB) AllocSpace objects, 118(6136KB) LOS objects, 37% free, 10MB/16MB, paused 158us total 149.983ms
08-20 01:20:11.819  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18134(843KB) AllocSpace objects, 120(6240KB) LOS objects, 37% free, 10191KB/15MB, paused 158us total 149.972ms
08-20 01:20:15.812  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18975(917KB) AllocSpace objects, 114(5928KB) LOS objects, 37% free, 10MB/16MB, paused 170us total 150.294ms
08-20 01:20:18.305  2162  8066 D SharedPreferencesImpl: Time required to fsync /data/user/0/com.google.android.gms/shared_prefs/LogDropPref.xml: [<1: 0, <2: 0, <4: 2452, <8: 2604, <16: 41, <32: 8, <64: 12, <128: 3, <256: 0, <512: 0, <1024: 0, <2048: 0, <4096: 0, <8192: 0, <16384: 0, >=16384: 0]
08-20 01:20:18.449  2162  2199 I .gms.persisten: Background concurrent copying GC freed 17928(840KB) AllocSpace objects, 118(6136KB) LOS objects, 37% free, 10206KB/15MB, paused 124us total 148.457ms
08-20 01:20:21.115  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18399(846KB) AllocSpace objects, 122(6344KB) LOS objects, 37% free, 10211KB/15MB, paused 124us total 150.611ms
08-20 01:20:23.760  2162  2199 I .gms.persisten: Background concurrent copying GC freed 17958(840KB) AllocSpace objects, 118(6136KB) LOS objects, 37% free, 10MB/16MB, paused 171us total 153.908ms
08-20 01:20:33.113  2162  2199 I .gms.persisten: Background concurrent copying GC freed 17569(821KB) AllocSpace objects, 116(6032KB) LOS objects, 37% free, 10MB/16MB, paused 180us total 149.687ms
08-20 01:20:34.487  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18243(835KB) AllocSpace objects, 118(6136KB) LOS objects, 37% free, 10210KB/15MB, paused 141us total 150.410ms
08-20 01:20:35.843  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18253(835KB) AllocSpace objects, 118(6136KB) LOS objects, 37% free, 10206KB/15MB, paused 157us total 153.062ms
08-20 01:20:37.194  2162  2199 I .gms.persisten: Background concurrent copying GC freed 17868(838KB) AllocSpace objects, 116(6032KB) LOS objects, 37% free, 10MB/16MB, paused 132us total 150.211ms
08-20 01:20:42.423  2162  8066 D SharedPreferencesImpl: Time required to fsync /data/user/0/com.google.android.gms/shared_prefs/LogDropPref.xml: [<1: 0, <2: 0, <4: 3035, <8: 3039, <16: 44, <32: 8, <64: 15, <128: 3, <256: 0, <512: 0, <1024: 0, <2048: 0, <4096: 0, <8192: 0, <16384: 0, >=16384: 0]
08-20 01:20:42.658  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18096(843KB) AllocSpace objects, 118(6136KB) LOS objects, 37% free, 10210KB/15MB, paused 134us total 154.629ms
08-20 01:20:44.012  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18307(835KB) AllocSpace objects, 116(6032KB) LOS objects, 37% free, 10217KB/15MB, paused 354us total 149.662ms
08-20 01:20:45.358  2162  2199 I .gms.persisten: Background concurrent copying GC freed 17626(821KB) AllocSpace objects, 118(6136KB) LOS objects, 37% free, 10MB/16MB, paused 152us total 152.737ms
08-20 01:20:49.434  2162  2199 I .gms.persisten: Background concurrent copying GC freed 17996(849KB) AllocSpace objects, 114(5928KB) LOS objects, 37% free, 10MB/16MB, paused 149us total 150.085ms
08-20 01:20:54.903  2162  2199 I .gms.persisten: Background concurrent copying GC freed 17631(822KB) AllocSpace objects, 114(5928KB) LOS objects, 37% free, 10MB/16MB, paused 133us total 150.097ms
08-20 01:20:56.295  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18094(845KB) AllocSpace objects, 120(6240KB) LOS objects, 37% free, 10207KB/15MB, paused 140us total 151.132ms
08-20 01:21:04.576  2162  2199 I .gms.persisten: Background concurrent copying GC freed 17955(846KB) AllocSpace objects, 112(5824KB) LOS objects, 37% free, 10MB/16MB, paused 283us total 149.961ms
08-20 01:21:05.940  2162  2199 I .gms.persisten: Background concurrent copying GC freed 17670(823KB) AllocSpace objects, 120(6240KB) LOS objects, 37% free, 10206KB/15MB, paused 141us total 154.484ms
08-20 01:21:07.184  2162  8063 D SharedPreferencesImpl: Time required to fsync /data/user/0/com.google.android.gms/shared_prefs/LogDropPref.xml: [<1: 0, <2: 0, <4: 3505, <8: 3588, <16: 44, <32: 8, <64: 20, <128: 3, <256: 0, <512: 0, <1024: 0, <2048: 0, <4096: 0, <8192: 0, <16384: 0, >=16384: 0]
08-20 01:21:07.353  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18062(845KB) AllocSpace objects, 114(5928KB) LOS objects, 37% free, 10MB/16MB, paused 167us total 150.209ms
08-20 01:21:11.471  2162  2199 I .gms.persisten: Background concurrent copying GC freed 17911(828KB) AllocSpace objects, 118(6136KB) LOS objects, 37% free, 10206KB/15MB, paused 136us total 148.303ms
08-20 01:21:22.739  2162  2199 I .gms.persisten: Background concurrent copying GC freed 18096(826KB) AllocSpace objects, 118(6136KB) LOS objects, 37% free, 10109KB/15MB, paused 164us total 150.370ms
08-20 01:21:32.854  2162  8066 D SharedPreferencesImpl: Time required to fsync /data/user/0/com.google.android.gms/shared_prefs/LogDropPref.xml: [<1: 0, <2: 0, <4: 4064, <8: 4046, <16: 49, <32: 9, <64: 21, <128: 3, <256: 0, <512: 0, <1024: 0, <2048: 0, <4096: 0, <8192: 0, <16384: 0, >=16384: 0]
08-20 01:21:42.689  2162  2199 I .gms.persisten: Background concurrent copying GC freed 23038(1029KB) AllocSpace objects, 140(7280KB) LOS objects, 36% free, 10MB/16MB, paused 103us total 149.313ms
